region,month,depth_m,temp_mean_c,temp_std_c,salinity_mean_psu,salinity_std_psu,current_speed_mean_ms,current_speed_std_ms,sample_count
Andaman Sea,1,10.0,27.74122,0.20043,34.41278,0.07166,0.28711,0.02733,11
Andaman Sea,2,300.0,19.57907,0.18582,34.92158,0.04412,0.1175,0.03616,9
Andaman Sea,3,0.0,28.7951,0.24905,34.34781,0.07428,0.16218,0.03601,8
Andaman Sea,4,25.0,27.84073,0.2044,34.35137,0.04451,0.07073,0.02717,9
Andaman Sea,5,0.0,28.59984,0.23902,34.28447,0.0872,0.15708,0.05347,11
Andaman Sea,5,10.0,28.38331,0.13392,34.26454,0.05446,0.14697,0.05261,8
Andaman Sea,5,75.0,25.88132,0.18872,34.49134,0.07546,0.11141,0.03678,9
Andaman Sea,6,0.0,28.51702,0.24835,34.2635,0.05082,0.20068,0.02595,8
Andaman Sea,7,50.0,25.99011,0.14715,34.44858,0.04559,0.22892,0.03588,10
Andaman Sea,8,0.0,27.66553,0.17535,34.30134,0.04315,0.20757,0.03505,10
Andaman Sea,9,500.0,15.1646,0.12181,35.02891,0.05337,0.06837,0.02786,10
Andaman Sea,10,300.0,18.4458,0.1302,34.93163,0.05165,0.10311,0.02939,8
Andaman Sea,11,10.0,27.12697,0.1702,34.37969,0.05575,0.25189,0.02129,8
Arabian Sea,1,0.0,28.31795,0.47562,35.20375,0.06306,0.30518,0.04278,81
Arabian Sea,1,10.0,27.85887,0.47523,35.18625,0.05965,0.30763,0.04186,52
Arabian Sea,1,25.0,27.33047,0.43705,35.16652,0.06478,0.28899,0.04144,64
Arabian Sea,1,50.0,26.46923,0.44645,35.1399,0.07095,0.29126,0.03743,75
Arabian Sea,1,75.0,25.3326,0.45653,35.10463,0.05939,0.26884,0.0417,57
Arabian Sea,1,100.0,24.58168,0.40681,35.07711,0.05866,0.25323,0.03664,59
Arabian Sea,1,150.0,22.94421,0.46877,35.02651,0.05949,0.21919,0.03292,55
Arabian Sea,1,200.0,21.67276,0.43693,35.02566,0.07104,0.20715,0.03673,72
Arabian Sea,1,300.0,19.30404,0.44733,34.98852,0.06954,0.17461,0.0384,47
Arabian Sea,1,500.0,15.98706,0.41315,35.04027,0.05366,0.11661,0.03449,34
Arabian Sea,1,750.0,13.58759,0.45975,35.16069,0.05772,0.07027,0.03269,39
Arabian Sea,1,1000.0,12.37865,0.37475,35.26772,0.06342,0.05966,0.03009,32
Arabian Sea,1,1500.0,11.08585,0.4841,35.58103,0.07622,0.04191,0.02704,37
Arabian Sea,1,2000.0,10.93922,0.37649,35.87001,0.08488,0.04055,0.02142,26
Arabian Sea,2,0.0,28.80129,0.45671,35.17201,0.06356,0.32044,0.04392,81
Arabian Sea,2,10.0,28.2905,0.45011,35.13962,0.06432,0.31579,0.04393,56
Arabian Sea,2,25.0,27.62167,0.43495,35.13945,0.06572,0.29596,0.04552,65
Arabian Sea,2,50.0,26.67383,0.45313,35.09383,0.05906,0.29085,0.04009,61
Arabian Sea,2,75.0,25.84682,0.41008,35.06744,0.06535,0.27036,0.03823,62
Arabian Sea,2,100.0,25.04474,0.42239,35.05135,0.05739,0.26553,0.03502,72
Arabian Sea,2,150.0,23.45077,0.38423,35.01155,0.07026,0.23678,0.03851,72
Arabian Sea,2,200.0,22.07928,0.45629,34.9903,0.06827,0.2218,0.03581,63
Arabian Sea,2,300.0,19.68044,0.46381,34.98038,0.05389,0.1784,0.03692,45
Arabian Sea,2,500.0,16.35242,0.41929,35.00386,0.05299,0.12267,0.03352,50
Arabian Sea,2,750.0,14.06963,0.41337,35.12202,0.06076,0.08576,0.03183,44
Arabian Sea,2,1000.0,12.64128,0.41732,35.24843,0.05634,0.05491,0.02651,38
Arabian Sea,2,1500.0,11.43015,0.4705,35.55196,0.0725,0.04795,0.0227,34
Arabian Sea,2,2000.0,11.23329,0.41866,35.85168,0.08153,0.04527,0.02056,33
Arabian Sea,3,0.0,28.94593,0.43506,35.13424,0.05811,0.43716,0.0541,76
Arabian Sea,3,10.0,28.59464,0.4439,35.10676,0.05781,0.42831,0.05118,67
Arabian Sea,3,25.0,27.94347,0.45158,35.09561,0.05212,0.41713,0.05407,80
Arabian Sea,3,50.0,26.95971,0.4598,35.07397,0.0498,0.3942,0.0457,73
Arabian Sea,3,75.0,26.05039,0.45654,35.0425,0.06312,0.3877,0.0501,70
Arabian Sea,3,100.0,25.20437,0.46714,35.02039,0.05883,0.35501,0.05484,61
Arabian Sea,3,150.0,23.62158,0.42824,34.98388,0.06038,0.32646,0.04274,57
Arabian Sea,3,200.0,22.2202,0.42001,34.95484,0.07148,0.29655,0.04291,73
Arabian Sea,3,300.0,19.92364,0.44708,34.94705,0.06093,0.2482,0.0426,54
Arabian Sea,3,500.0,16.69804,0.3984,34.98076,0.07584,0.16691,0.03546,41
Arabian Sea,3,750.0,14.3086,0.47147,35.09352,0.07827,0.11039,0.03765,53
Arabian Sea,3,1000.0,12.82968,0.4901,35.21543,0.07973,0.08068,0.0349,39
Arabian Sea,3,1500.0,11.78345,0.50551,35.52393,0.07184,0.04733,0.025,39
Arabian Sea,3,2000.0,11.29342,0.42315,35.89481,0.08561,0.0478,0.02892,28
Arabian Sea,4,0.0,29.17944,0.42159,35.10939,0.05622,0.57047,0.04418,75
Arabian Sea,4,10.0,28.65101,0.4503,35.1053,0.0546,0.54937,0.04094,59
Arabian Sea,4,25.0,28.02141,0.44884,35.08811,0.06213,0.54758,0.05059,81
Arabian Sea,4,50.0,27.10357,0.41898,35.05344,0.05377,0.5183,0.04156,66
Arabian Sea,4,75.0,26.175,0.43328,35.02402,0.05746,0.49756,0.03917,56
Arabian Sea,4,100.0,25.24838,0.49597,35.00029,0.06476,0.47275,0.0403,62
Arabian Sea,4,150.0,23.74014,0.47969,34.97137,0.06022,0.42188,0.04223,60
Arabian Sea,4,200.0,22.38721,0.44284,34.9415,0.05103,0.37993,0.03915,51
Arabian Sea,4,300.0,20.20421,0.32521,34.90947,0.06153,0.31436,0.03606,51
Arabian Sea,4,500.0,16.90591,0.40392,34.97933,0.07393,0.21218,0.03032,46
Arabian Sea,4,750.0,14.44412,0.41647,35.07289,0.06737,0.13114,0.03974,37
Arabian Sea,4,1000.0,12.99725,0.45544,35.23277,0.0702,0.09232,0.02968,34
Arabian Sea,4,1500.0,11.76099,0.46255,35.52371,0.08516,0.05437,0.02151,50
Arabian Sea,4,2000.0,11.39935,0.47716,35.82167,0.05726,0.04434,0.02356,22
Arabian Sea,5,0.0,28.94894,0.49514,35.14758,0.05981,0.62306,0.0319,67
Arabian Sea,5,10.0,28.48291,0.46999,35.1205,0.06738,0.60332,0.0356,80
Arabian Sea,5,25.0,27.81252,0.39938,35.1102,0.05945,0.5861,0.03651,65
Arabian Sea,5,50.0,26.97673,0.41809,35.08342,0.05844,0.55238,0.03265,83
