timestamp_utc,lat,lon,region,significant_wave_height_m,peak_period_s,mean_wave_direction_deg
2023-09-22T16:46:43.686949+00:00,5.92708,64.43065,Arabian Sea,2.6515,9.7325,263.97
2023-02-09T12:06:24.476855+00:00,-2.98411,61.80011,Indian Ocean,2.0743,10.598,231.95
2024-09-11T17:59:16.416062+00:00,5.21687,77.4818,Arabian Sea,1.7889,8.6018,278.74
2025-09-26T15:46:03.173216+00:00,-3.34879,84.00411,Indian Ocean,2.1032,8.7531,280.97
2024-11-18T15:31:41.750436+00:00,22.4384,80.43129,Indian Ocean,1.8423,9.8701,230.81
2025-11-11T04:32:53.873638+00:00,4.92474,62.038,Indian Ocean,1.8367,8.2081,259.73
2023-12-19T14:06:00.584065+00:00,2.7937,68.99059,Indian Ocean,1.2059,7.8401,254.92
2023-11-17T15:22:23.528286+00:00,4.19826,95.69644,Andaman Sea,1.4926,8.3048,206.68
2023-08-15T21:56:08.414109+00:00,-3.30416,86.8798,Indian Ocean,1.9782,10.3055,248.89
2025-07-26T16:30:17.752447+00:00,22.93779,70.39208,Arabian Sea,1.4937,8.5281,226.05
2023-10-07T10:35:32.569111+00:00,7.40854,81.36938,Bay of Bengal,2.3141,9.5516,285.32
2023-09-26T02:07:19.201426+00:00,0.42011,87.77383,Indian Ocean,1.8556,8.6729,282.01
2024-07-17T22:48:09.422969+00:00,22.62626,88.58916,Indian Ocean,1.645,7.5927,226.21
2025-02-09T01:51:31.873905+00:00,11.85143,80.73629,Bay of Bengal,1.862,9.1665,181.15
2024-04-18T16:10:08.790665+00:00,-2.64552,79.42201,Indian Ocean,2.0507,9.5237,170.04
2023-05-30T15:46:43.024972+00:00,5.24318,69.36308,Arabian Sea,2.1546,8.3546,155.27
2025-08-03T22:12:54.109876+00:00,19.94808,77.29718,Arabian Sea,2.3667,10.5331,237.65
2023-10-05T04:59:01.061280+00:00,23.29189,91.56166,Indian Ocean,1.9535,9.8747,245.19
2024-10-13T21:04:48.575546+00:00,10.90635,87.47321,Bay of Bengal,2.2954,6.8984,255.52
